Time,cLE,cRE_measured
342,34.9530860674525,55.0041387600334
342.5,35.0237290534965,54.9518477901489
343,34.9716844102321,54.9304370248459
343.5,34.991017850548,54.9600803971382
344,34.9596757549959,54.948517110817
344.5,34.9956270562042,54.9218304505902
345,34.9764174072709,54.9400455797523
345.5,35.0088720585091,54.952201881465
346,34.9694210375407,54.9412822265638
346.5,35.0293336188961,54.990174282955
347,34.9926115757071,54.9670305779286
347.5,34.9823473854611,54.9149638927702
348,34.9620906150502,55.0107341628019
348.5,35.0033270414252,54.9874369142791
349,35.0012617174207,54.9193168881655
349.5,35.0634485497055,54.9376362841504
350,34.9882078451479,54.9470109705687
350.5,35.004174520907,54.962889264447
351,35.0813833686914,54.9352204877714
351.5,34.9921716513572,54.969039187494
352,34.9794998589574,54.9243499411022
352.5,34.9867529730621,54.9982108721456
353,35.0572692283332,54.9841874587286
353.5,34.9102487974633,54.9196349125955
354,35.0148480184538,54.9685078241965
354.5,34.9580746592123,54.9690797812937
355,35.0119740854128,54.9495461560376
355.5,34.9998415190923,54.9300727880111
356,35.0468246670695,54.9406979052196
356.5,34.9897513935819,55.000071784752
357,35.0086281499804,54.9223980244554
357.5,35.0486949871662,54.9500889455788
358,34.958452025341,54.9577352458794
358.5,35.039880728207,54.9592343804762
359,35.0081935264253,54.9250389773462
359.5,35.0076482243931,54.9315288037807
360,35.0155668760833,55.0183720368481
360.5,35.0300446760183,54.9790702577134
361,35.0120845597169,54.9392717624943
361.5,35.0358608309761,54.9539880443574
362,35.0353708934364,54.8799560493885
362.5,34.9735652889396,54.9357329992267
363,35.0474523434214,55.0070857634725
363.5,34.9686416916555,54.9490346184313
364,34.9987396479539,54.9526987084588
364.5,35.0188505742341,54.9398328956183
365,34.946958729409,54.9514040672862
365.5,35.0247211702519,54.9661627554649
366,35.0049499213425,54.9612180769484
366.5,34.999271132875,54.9344433732063
367,34.9727102416121,54.9420682908321
367.5,35.0395807802221,54.9413214839798
368,34.9856444312892,54.909228787362
368.5,34.9735454515445,54.9648918719224
369,34.9606335532788,55.0193045520597
369.5,34.9569514063887,54.9726594517409
370,35.0168144654906,54.9705965278352
