Time,fPLSP,cLO_measured
338,278.271122406852,14.8794753598189
338.5,277.811231916228,14.8782310355845
339,276.75023791832,14.8772854541949
339.5,277.217560409221,14.8809482954703
340,278.23281149582,14.8823496260454
340.5,277.739766496556,14.8793133983383
341,278.358880804649,14.8775768880552
341.5,277.458552320682,14.8768660267864
342,279.098154674362,14.8793697778391
342.5,277.600020999006,14.8795876163536
343,277.453526881553,14.8843348081874
343.5,277.906523929653,14.8770923184281
344,278.353070515005,14.8740173010032
344.5,277.707614162278,14.8774269241986
345,278.355818268689,14.878306710503
345.5,278.093028436251,14.8802745773938
346,276.79596705789,14.8838495555843
346.5,277.991157353023,14.8813071575502
347,278.157997377007,14.8832887251689
347.5,278.659714062789,14.8863043023144
348,277.242241593932,14.8837386388157
348.5,277.208726842869,14.8806903400272
349,278.227125372785,14.8795959293171
349.5,277.527465653338,14.8818059474959
350,277.75281890154,14.8780329712064
350.5,278.452954382471,14.8830329090569
351,277.327733560667,14.8812589160228
351.5,278.359420789387,14.8805778999857
352,278.079899887029,14.8826180573758
352.5,278.506903017084,14.8805664074762
353,278.415874286731,14.8794030368027
353.5,277.778339775237,14.8773836755305
354,277.635635449574,14.8764659248626
354.5,277.590286981143,14.8809800156796
355,277.512435009442,14.8768109674262
355.5,278.095622489502,14.8814335302264
356,277.703665857979,14.878982463796
356.5,278.157855307801,14.8812986296211
357,277.182798729659,14.8797178882007
357.5,278.499938800468,14.8761092829676
358,277.47057426423,14.8803650388763
358.5,277.406297356395,14.8788390237797
359,277.894881166897,14.8810745369706
359.5,277.255178919127,14.8811968417217
360,278.506116231353,14.8785613282967
360.5,276.973543972636,14.8813686414702
361,277.893584904428,14.8804007027854
361.5,277.766391272641,14.8801039939365
362,278.190020522377,14.8794361549801
362.5,278.110999016271,14.8833390011087
363,278.040946420305,14.8816035889207
363.5,277.303115579236,14.8699825870149
364,279.034413964684,14.8822137593521
364.5,278.0947592316,14.8800422426335
365,278.312461241899,14.8821488552287
365.5,278.89106809106,14.8794061308852
366,277.684841483179,14.8720160048394
366.5,278.059790156773,14.8846009116562
367,277.164333426899,14.8754996624364
367.5,278.009983719487,14.8786861016946
368,278.644222636863,14.8776732756416
368.5,278.132115747643,14.880280880191
369,277.819453721347,14.8822185715056
369.5,278.174257893937,14.8839755044559
370,277.606019407246,14.880279491522
370.5,278.368814759397,14.8805627650541
371,278.29952909361,14.8849647890138
371.5,277.933960457151,14.8737301887611
372,278.388767817742,14.8801235588076
372.5,277.370962182714,14.8830493720139
373,278.306412073094,14.8817700405743
373.5,278.526102094,14.8790418148844
374,277.510655552316,14.8816356044137
374.5,278.588268899251,14.8862968153924
375,277.299051317732,14.8820759288552
375.5,278.498184038438,14.8818951178545
376,277.953774277237,14.8766773792981
376.5,277.804387410286,14.8826608053391
377,277.756307161341,14.8812941497851
377.5,277.617422806351,14.8758452712492
378,278.548632833301,14.884250289326
378.5,278.159626767568,14.8782047479541
379,277.557965105294,14.8818926633258
379.5,277.226534925908,14.8761492173071
380,278.559736385814,14.8822573726206
380.5,278.332336189959,14.8816444986346
381,278.053465350563,14.888971242955
381.5,278.067519030781,14.8832344226384
